scorer,DLC,DLC,DLC,DLC,DLC,DLC
49,355.58330131,173.68597739,0.87856385,285.53339025,192.63309312,0.82049849
50,355.21925495,170.73671323,0.81771073,287.75959637,188.93804699,0.78042553
51,355.03569347,170.97663207,0.97458963,286.80560129,192.80628152,0.88188982
52,349.93165673,167.44384132,0.84907498,286.44263500,191.55024461,0.98164161
53,351.22185429,169.53554508,0.74031007,288.81048579,191.26768354,0.80339227
54,349.87978440,169.38846332,0.80961354,283.31828154,189.13308608,0.86710053
55,348.44803732,167.08314391,0.72015000,291.03997845,193.03948311,0.78888989
56,348.02862268,166.47553498,0.76059371,284.12426716,190.87450034,0.75093999
57,350.37176686,165.96131393,0.70530063,289.17118895,196.51397102,0.75855566
58,344.40516193,163.13340836,0.83598397,294.76671304,198.17348643,0.71738360
59,346.78246792,164.03107349,0.89036208,296.10914746,194.08004717,0.98478806
60,340.14567055,163.51461505,0.80298774,294.16373235,196.78428137,0.82086388
61,341.46589191,164.10836291,0.82611453,296.44013395,195.20764177,0.95023627
62,341.04658651,164.89236329,0.98776278,302.02000160,195.85031574,0.90439884
63,340.44259163,160.35679424,0.92558894,299.76179277,199.07512301,0.75757635
64,339.20786033,161.83574673,0.86225699,306.70043346,197.83715868,0.75263867
65,337.85616019,164.69200194,0.78536226,303.72669457,201.75020524,0.94359646
66,334.02753196,159.91729382,0.96909904,306.09109025,197.63106476,0.77941351
67,332.22996228,159.46797256,0.77052914,310.07908293,200.88620007,0.97398556
68,333.27722364,161.25822243,0.79760282,308.70078235,199.34121678,0.74201662
69,329.56498684,162.31710716,0.97271944,308.04771655,200.96321924,0.90331258
70,325.76509499,160.45990010,0.85886262,311.46407746,198.66863670,0.94434216
71,324.40417544,162.93800044,0.92269538,313.25802866,199.62080307,0.77057692
72,323.17442477,161.87129394,0.87722344,312.25718735,199.61129627,0.78286221
73,324.34143522,161.75378295,0.89603176,316.14122212,198.25774296,0.98935567
74,321.95987762,161.12577640,0.78981499,316.84058966,201.30661967,0.77937928
75,321.38097071,164.65530620,0.77241162,321.84871551,201.30049801,0.82898711
76,317.47046856,159.60722002,0.79674770,321.74424990,201.16956599,0.82975468
77,316.96996565,156.06309823,0.74663247,322.78152223,203.00378849,0.77591042
78,316.23785145,163.36621470,0.96229431,324.80096548,202.74098363,0.93273733
79,312.71055705,159.36468040,0.78497408,327.11699391,198.97003136,0.93155480
80,312.59708284,160.65280887,0.86844682,329.55009603,200.30905665,0.81349540
81,308.72855263,163.24743815,0.93759233,327.94817103,198.12446184,0.95053774
82,307.71262043,157.64909097,0.93514723,329.47809661,199.19310058,0.76392248
83,306.08185834,158.60917817,0.83151588,335.36402430,197.68802851,0.70129173
84,302.88333860,158.20191441,0.84287719,333.90030836,201.83567034,0.87135021
85,304.70447924,160.14081827,0.99841052,333.43578154,198.99830545,0.99822333
86,301.27578815,162.96503801,0.90237924,338.67303259,197.47817695,0.71159329
87,300.75484127,163.52224208,0.94439153,340.19688658,199.91337074,0.76239942
88,300.24041294,163.44526316,0.97076619,337.65964986,192.76605438,0.85567439
89,298.75740038,160.51604342,0.93627695,342.59462540,192.63021962,0.94298222
90,297.81936013,159.19945324,0.75555380,344.98257628,197.77201720,0.72671260
91,294.95711782,164.43483802,0.86865122,345.59468411,195.79480604,0.81857040
92,293.01657922,163.91654682,0.73056825,347.40078713,195.64079371,0.92412274
93,292.45867934,166.33939900,0.89587664,344.57334604,191.92658034,0.81146296
94,288.04642395,167.41064044,0.98660483,349.24098750,193.94679939,0.75665093
95,287.37998204,166.89387074,0.85381962,349.12055350,197.38963095,0.75864875
96,286.53407106,168.77178638,0.82989175,349.85494939,194.39687903,0.82301464
97,286.14430962,168.36644045,0.71075283,353.60230794,192.43139539,0.84382512
98,287.95358009,169.64585806,0.98793236,355.80451739,190.53616353,0.95854433
99,284.41592487,167.87411757,0.73090081,357.36185713,189.92739020,0.89267573
100,284.60265874,169.64077717,0.71232373,357.27063189,185.74160422,0.90712059
101,287.15031343,171.12763149,0.77381998,355.22867481,189.78120154,0.99489615
102,283.09438996,173.12547112,0.71965913,356.89852242,190.20655205,0.82355303
103,284.60050507,171.46220593,0.83653535,358.40817181,184.59907307,0.82100632
104,280.64148506,174.07089357,0.85482634,357.73363548,185.64860716,0.97700409
105,281.54686423,173.28798253,0.79377098,358.30378903,183.86541062,0.77376268
106,279.57345322,174.38651925,0.71528814,360.17400894,183.44769402,0.91894457
107,280.37877773,177.09202068,0.73348011,358.82459082,184.67398066,0.92637194
108,282.38912625,172.26625297,0.81535131,357.83291616,179.57882198,0.72933640
109,276.97446584,174.48539477,0.71815854,358.74194719,184.15020145,0.84046942
110,281.08797147,174.94505994,0.90945692,361.04869657,183.59827941,0.76016874
111,280.55440207,174.07695737,0.76210616,359.92705572,180.75360521,0.75561258
112,278.82047275,178.22462272,0.79062147,360.67164729,175.45743138,0.83914843
113,277.11665695,181.91771620,0.81823773,361.33138582,177.58831435,0.78682891
114,280.22318988,180.68604226,0.82498289,359.17138621,181.20999348,0.93881813
115,279.16013877,182.48614943,0.70049821,361.29337214,172.35344217,0.97228147
116,280.89445910,185.10009556,0.73362111,360.32857853,176.38329260,0.94081618
117,280.75221426,186.40299856,0.95882937,356.82186386,173.89237215,0.77980926
118,284.26040167,184.42874153,0.70036992,361.82776570,177.04212320,0.78224032
119,280.99478607,188.08556819,0.85245021,357.52501318,173.27137568,0.77641851
120,279.91074436,186.36459320,0.84685060,354.73206997,174.62756815,0.74051143
121,282.86727169,185.29664450,0.79992825,355.40119216,174.15947989,0.98313951
122,283.56546730,186.56151102,0.82939811,354.83243574,175.92213995,0.82061434
123,286.52529305,185.55451281,0.93417434,356.29742874,171.07853028,0.76740684
124,286.22207932,187.48965299,0.95236111,354.90044216,171.48616804,0.95400132
125,286.07272597,189.28396662,0.77810456,353.96735222,167.02988904,0.81975859
126,289.15348876,192.32370594,0.79674713,355.01252095,171.66429123,0.71053504
127,284.77650553,194.85581102,0.77274486,353.52571909,167.06471095,0.74858247
128,286.85930021,189.32761927,0.84395902,352.49329246,166.78650937,0.89177510
129,287.32631841,193.53413473,0.90497751,351.64018663,167.20702462,0.93487158
130,289.49458737,191.30152425,0.76847586,350.95806236,163.49161918,0.76328032
131,288.66772052,194.94266099,0.79922072,344.36300050,166.46427325,0.97521868
132,293.88841766,194.31719925,0.97911539,346.65300773,167.35556000,0.95529914
133,293.41873045,191.47808946,0.71457079,341.77640403,165.44596653,0.95451423
134,292.21247620,197.53046313,0.83823088,344.91803106,161.14833573,0.76829834
135,294.45743175,194.97033846,0.91346741,343.50214415,163.57204152,0.71516080
136,298.49136573,195.59062434,0.74513620,344.22672652,164.82563299,0.96022706
137,300.95517276,194.96778038,0.71421221,343.09634916,159.13673726,0.79174007
138,304.72331482,196.21756705,0.74146161,339.67569706,160.32433437,0.88567491
139,308.04231776,198.77001609,0.97564696,336.78468501,163.83885200,0.92799007
140,304.55935314,197.89242047,0.70277793,337.23978795,162.26928172,0.73848798
141,303.29594165,199.25285372,0.75649659,333.66914683,162.22841345,0.93425151
142,302.58124157,199.61137111,0.70938505,333.15188057,164.83146221,0.98155344
143,308.97415105,201.78771326,0.73318884,333.53354451,161.79071561,0.91851249
144,308.42652232,198.68609092,0.88604479,328.83205279,161.94411280,0.83236682
145,310.85281785,196.60923638,0.77249167,329.92782491,165.85853904,0.96300344
146,312.10505653,201.85436557,0.87076362,328.02555261,159.85247014,0.85823729
147,314.70508888,199.17931768,0.87705861,323.10374571,158.56194045,0.92343128
148,318.78484673,202.15904207,0.95483060,325.29490199,160.92573561,0.94615178
149,318.63907099,200.74921083,0.70142242,323.07215884,160.89552546,0.92480586
150,319.68273033,199.73772494,0.95601084,320.20385177,158.94656922,0.78635646
151,319.60371864,200.68000839,0.88573573,316.80032693,157.95274936,0.73535317
152,319.99774784,203.83188231,0.74882305,314.93447423,164.68983166,0.77150156
153,324.04071352,203.99625508,0.93188122,313.91134550,160.81139291,0.85086248
154,326.56318477,199.85868301,0.95664746,314.41443906,158.81550850,0.85158308
155,331.85232746,199.88333320,0.77627905,309.77228203,162.26890859,0.87479330
156,330.20814453,201.52414354,0.97563810,310.92742901,160.41004647,0.81853055
157,333.52675090,197.45506789,0.83633723,305.95521706,160.34784716,0.93606741
158,332.15607467,199.55366815,0.88102734,306.43719696,162.23701834,0.97394613
159,332.35509457,198.54380402,0.99539486,305.49431340,158.82070575,0.77401752
160,334.33923220,198.89872558,0.80846082,308.62079457,162.43434525,0.92095697
161,336.33495504,196.24749759,0.94394780,299.45996152,165.91167441,0.90339156
162,343.52708643,194.34699861,0.79551974,303.67388217,163.40622172,0.85692715
163,339.07830702,192.96131833,0.93976406,299.57860445,162.14029059,0.75655907
164,343.81264038,194.42365659,0.88022018,298.68668187,162.32736462,0.93856968
165,341.70555574,195.26298932,0.76490671,296.72528574,162.99898017,0.98818789
166,346.70905724,195.08748597,0.82420783,296.04354243,163.81820550,0.91655090
167,346.90672609,199.01436344,0.79529069,293.55580563,164.10448582,0.97535800
168,347.06860844,196.79135929,0.72343252,295.52621613,167.25325033,0.99525558
169,348.49738213,192.06908458,0.70895043,290.50815053,162.54031498,0.80561520
170,348.41621763,194.07802903,0.80394360,292.53867613,168.34138797,0.89146707
171,351.71267411,191.93432332,0.70571024,287.89073605,166.49214715,0.84217982
172,350.95122976,191.52325462,0.74964633,288.01829959,168.66191327,0.99598862
173,350.39475684,191.78492265,0.91755500,285.01010653,166.33175283,0.72814235
174,351.21724187,191.95487813,0.91242737,287.13693042,171.94072623,0.82371247
175,354.98619199,189.32148303,0.92157412,288.24923576,172.49126992,0.96266171
176,358.60632568,191.39362377,0.79514595,284.39714447,172.65326035,0.78521539
177,356.51306533,186.23170938,0.96700584,283.41314650,168.45490462,0.93633786
178,356.63724941,187.76298985,0.87814916,280.89624001,173.90793041,0.81483495
179,358.06293186,192.16678840,0.73780790,282.05013511,173.83826923,0.99399356
180,360.65426414,186.62649937,0.74311560,278.77215083,170.60911762,0.96505895
181,358.96526767,188.24482543,0.90792863,279.64774135,174.57300882,0.79039611
182,358.12130165,184.75005776,0.75188318,281.51041598,176.16205158,0.93105793
183,361.50406745,184.90918048,0.85218781,283.34653637,177.36452426,0.80105696
184,360.42840620,182.80809418,0.99753234,286.04752840,177.43286216,0.88190885
185,362.85238780,181.74975410,0.70120228,279.04595402,178.49189357,0.89754423
186,360.28753801,179.69684560,0.70497394,282.94953118,181.69141239,0.94887862
187,357.54228928,181.27945112,0.99792537,280.49627762,182.03321942,0.70733525
188,357.25490894,177.87807722,0.87539165,279.70627737,174.68473849,0.76604737
189,363.22292500,180.07536008,0.73807299,280.94411977,180.62093328,0.91357534
190,363.22820726,180.08000474,0.96919066,280.34295715,181.76126721,0.86905697
191,359.21185489,177.81140224,0.96411409,280.64989813,179.41746343,0.84868152
192,358.52511539,175.67987624,0.86086012,279.89184365,183.93599241,0.71656299
193,361.86604470,176.34091376,0.88653761,278.26062457,187.06453295,0.80448277
194,356.31241131,174.00425748,0.78195616,278.38624692,183.20526069,0.95953007
195,356.25280661,175.69075436,0.71515591,283.26422911,186.85314176,0.70926785
196,358.77793317,169.36574689,0.87837028,281.95532024,185.13979399,0.81893087
197,356.08531582,171.57847353,0.78842656,281.93329614,186.40648768,0.98354449
198,356.18283837,167.50279018,0.89908631,283.82392915,191.47037310,0.71526422
199,355.12125737,167.74395764,0.95087355,286.14172134,188.18080506,0.92491173
200,355.31616525,172.72772446,0.70544816,285.71971173,190.92442498,0.77728378
201,356.58808074,171.07383406,0.87871413,284.91477311,186.97409967,0.95998265
202,353.02713818,167.14676818,0.76938416,289.60661755,195.13890648,0.92382039
203,353.14907431,164.90301079,0.96216655,291.29717428,193.29728719,0.96571155
204,346.72018551,161.32246253,0.77609935,290.16858360,192.38348011,0.76477744
205,349.62835622,165.53039686,0.88323104,292.22153400,194.53370515,0.85938783
206,346.89244664,170.84756321,0.86606225,293.90501281,191.17362795,0.93378098
207,344.94425812,166.29039599,0.81884995,294.87831440,196.94443403,0.77370992
208,344.38051943,163.74095431,0.90328623,295.09137419,194.49193156,0.76922389
209,344.17766433,165.25629127,0.91773089,296.35078288,195.26573012,0.70815464
210,345.34321518,160.69774341,0.87008134,297.52791105,195.19702866,0.98755459
211,339.48287653,162.74692846,0.92752667,295.66966268,195.49712201,0.91300506
212,340.78234336,163.09166974,0.99502512,300.68036594,198.49662643,0.89066811
213,338.30180810,162.30166510,0.82578172,298.01822509,198.03794730,0.92319842
214,337.13006098,163.66737704,0.85437492,300.62539392,199.21773149,0.85948388
215,338.27498137,162.41838130,0.70374096,306.33766441,198.25331977,0.84284015
216,335.80121298,162.74112232,0.93880857,306.95545822,199.62192934,0.83485967
217,335.82946208,159.73572803,0.85606902,309.82013071,198.04982992,0.89213176
218,331.25226052,162.64924087,0.82238843,307.89537935,203.60585363,0.76046049
219,328.55571026,163.88621067,0.72822159,307.74790683,196.23580239,0.96641761
220,327.86875000,158.49674895,0.96689693,311.20265797,202.08482666,0.94352571
221,327.15574345,158.50468795,0.81850217,313.53331273,202.45573564,0.80486908
222,325.36647606,162.82927465,0.90477448,315.14464809,198.13797641,0.87358279
223,321.17833759,159.68745484,0.74481225,318.92024722,204.38840441,0.74230819
224,321.85600571,162.82518618,0.98846489,317.60243300,201.97343717,0.99170387
225,320.45645666,159.11492858,0.75353253,320.70406894,201.94227801,0.97086781
226,323.35992193,162.92763455,0.75986260,319.69777185,200.03850098,0.97656925
227,320.40657549,160.33311445,0.95769486,324.24774829,199.49540487,0.79964891
228,313.28018396,160.67416362,0.97377482,325.01954644,199.42347637,0.75074041
229,312.75448341,163.40951530,0.76364422,325.17112319,200.50098193,0.76353165
230,308.75664836,159.71350703,0.84094027,327.84480891,202.36532456,0.72700042
231,308.87099049,158.74609259,0.92004847,329.57924399,199.73429166,0.73603319
232,309.06993813,159.95648163,0.96350972,331.02096162,197.32350270,0.72139136
233,309.25704137,162.01714050,0.81371581,336.69734835,200.53638153,0.99694692
234,303.81685022,158.27295214,0.85510585,334.52809010,200.43783121,0.72221731
235,302.42224140,163.00403265,0.92251492,335.78167350,199.58022821,0.73976262
236,297.92001477,161.00822216,0.91934079,333.59050525,199.40523302,0.94817638
237,300.40452119,164.76949172,0.93488804,337.48173226,196.98427734,0.87407207
238,297.15409080,158.10419419,0.87098015,340.19493353,195.24930687,0.93232516
239,296.80545918,161.76844364,0.73138453,340.76395662,194.92203795,0.88927360
240,294.73486835,160.44672381,0.97119199,346.27482528,192.90941339,0.96465252
241,294.96556368,162.67367192,0.95967176,344.51603566,196.14776637,0.89154026
242,290.34771906,165.35543069,0.93942923,348.71371266,194.97300355,0.85663753
243,289.68402527,165.06217420,0.72995874,347.50529351,193.69939714,0.91382491
244,295.67958704,165.49997805,0.76131921,348.65336286,188.08202916,0.83421783
245,287.69936182,166.29901813,0.92308011,349.54820012,190.88797719,0.80381915
246,286.98589913,167.65829669,0.70694203,350.82812221,194.99016110,0.84029574
247,291.81263034,165.89094562,0.99376739,355.29878673,190.76273030,0.75091423
248,292.96416597,169.99942793,0.81314340,348.20674691,192.13545471,0.93897152
249,283.88374972,170.60879604,0.91579376,349.77002553,187.93516504,0.77821113
250,284.62248594,170.77007588,0.96627133,353.55467449,192.87741096,0.74605946
251,285.23496793,171.84714618,0.81838897,355.47719893,188.97786538,0.77390567
252,287.26431319,172.07725017,0.79573975,357.57329095,189.09566662,0.95262105
253,281.15175978,176.31983488,0.88262234,357.82070046,192.40187131,0.79906039
254,282.01816473,172.85437071,0.87429681,356.72278775,190.00432115,0.90581496
255,283.51241450,173.20549368,0.82274199,360.08034804,185.56720864,0.95692289
256,282.34302948,173.11454843,0.88053243,360.58689348,184.19195604,0.72332340
257,280.30453174,173.36845726,0.98061441,359.31127178,183.91592738,0.92950732
258,280.44086404,173.76343013,0.84029208,361.21680517,184.76742279,0.79229964
259,277.67931506,175.30074480,0.75902265,360.11618385,182.71121230,0.76498671
260,279.74277670,177.76806997,0.81316179,358.65790976,181.30008098,0.90667044
261,279.54615588,179.41277987,0.81823209,361.31670282,184.19017289,0.97293899
262,280.47311244,179.68343572,0.73933261,360.21245358,180.19042861,0.78850576
263,278.89811822,178.88777784,0.74886145,359.99390703,184.18032979,0.87065014
264,281.02200791,183.05617952,0.90536862,362.86697628,178.92567474,0.78695023
265,282.24455582,183.56939461,0.80184333,354.87913156,181.48006752,0.86628568
266,280.73996534,182.60236396,0.98646952,356.73552498,177.79297827,0.88655861
267,281.41202279,182.44179400,0.77307902,356.91734918,178.17829485,0.88310062
268,281.16315458,185.66387324,0.72967735,358.21663482,173.98376049,0.88706391
269,281.47366611,185.75434359,0.92605137,358.01728633,172.91408514,0.74052394
270,280.51462328,183.28408537,0.96431082,355.02760936,174.73907202,0.90806214
271,283.14170894,186.83548043,0.78343401,355.52096352,175.00566554,0.90242511
272,282.93090074,188.27438335,0.76062643,355.15284271,172.33020127,0.90477644
273,287.99325452,186.71619626,0.75572984,361.10793028,168.91162750,0.72222117
274,287.69856664,189.64560749,0.85660369,359.05162706,168.01356257,0.83405165
275,286.13067695,187.09035503,0.84052499,353.81751732,167.14572720,0.82271054
276,284.70076856,193.38890810,0.77783195,353.04595044,165.74821987,0.72601345
277,284.92920869,193.91017132,0.71355194,350.54756037,168.80469937,0.76671038
278,290.52108919,191.58694763,0.84444740,348.04493589,170.15810555,0.83228879
279,289.70496874,193.47538847,0.98779970,350.58676934,167.22468863,0.92287189
280,291.23449379,188.56276820,0.89575576,347.73008905,162.09655836,0.77111862
281,287.93192084,191.68057149,0.84865197,348.40920612,165.62521227,0.94892497
282,294.47299273,193.99181471,0.73320762,344.18147254,165.09502946,0.86373949
283,294.77201652,192.99563507,0.77573089,344.61287524,169.05209639,0.92812651
284,292.93322742,197.10266211,0.78843218,345.14316540,161.41185503,0.84176680
285,295.54554029,200.17493295,0.92944107,344.24382929,163.03830491,0.84975827
286,298.39177244,194.30519538,0.96301324,342.97060589,166.75328055,0.88591582
287,299.38385322,195.43235840,0.97049256,338.08010241,163.79267148,0.97839118
288,300.14551066,197.99703034,0.99537058,340.97951842,163.60049255,0.84754377
289,302.00761630,201.13646750,0.99471000,336.18498377,162.31493367,0.85859726
290,303.22657952,195.82616053,0.98589974,337.53518155,162.38897792,0.88059909
291,305.58014292,199.09360196,0.72154664,334.70370475,162.95968934,0.92125454
292,309.78831808,202.53012511,0.74133806,330.40189087,159.49349996,0.72155510
293,303.30541124,195.84287165,0.79133996,330.92887647,162.60972721,0.85470623
294,309.57870398,196.80952481,0.86586948,330.67832297,157.88233074,0.84447748
295,312.03655721,198.71573880,0.72909337,329.54239839,161.09378393,0.97650550
296,313.92123811,198.67874392,0.95373909,326.38877407,160.63756119,0.84805197
297,314.24284149,201.46749660,0.88502685,328.07688712,158.92511980,0.84049616
298,313.13944270,200.41317662,0.86270932,325.36213528,160.02477226,0.98866000
299,318.98096482,196.43253248,0.74959340,321.16171792,158.77246309,0.83517294
